experiment,config,dataset,model,seed,stride,n_features,n_dead,base,rolling,lag,trend,agg,cycle,opcond,rmse,mae,nasa_score,train_seconds,predict_seconds,epochs_run,n_params,timestamp
exp1,C6_expose,FD001,lstm,0,1,180,44,24,84,42,21,5,3,1,17.150627258776424,12.662186107635499,573.2440575721145,155.6,0.313,19,209729,2026-09-09T15:18:49
exp1,C6_expose,FD001,lstm,1,1,180,44,24,84,42,21,5,3,1,17.344913736916343,12.890015077590942,555.38288100402,115.2,0.322,14,209729,2026-09-09T15:22:45
exp1,C6_expose,FD001,lstm,2,1,180,44,24,84,42,21,5,3,1,17.339375828892567,12.79814160346985,561.7395484930163,124.8,0.307,15,209729,2026-09-09T15:24:54
exp1,C1_base,FD001,lstm,0,1,17,0,17,0,0,0,0,0,0,15.74223538239227,11.678970189094544,486.3016072986239,145.8,0.274,19,126273,2026-09-09T23:56:35
exp1,C1_base,FD001,lstm,1,1,17,0,17,0,0,0,0,0,0,16.64927678959632,12.05524408340454,550.5420898544331,128.1,0.271,17,126273,2026-09-09T23:58:46
exp1,C1_base,FD001,lstm,2,1,17,0,17,0,0,0,0,0,0,18.130069546418486,13.244903769493103,738.235160706737,101.5,0.334,13,126273,2026-09-10T00:00:29
exp1,C1_base,FD002,lstm,0,1,19,0,19,0,0,0,0,0,0,25.940914996096875,17.800696940035433,14184.646899925034,215.4,0.434,11,127297,2026-09-10T00:04:07
exp1,C1_base,FD002,lstm,1,1,19,0,19,0,0,0,0,0,0,26.804436789937256,18.5866860036224,19912.088896982612,231.5,0.303,11,127297,2026-09-10T00:08:02
exp1,C1_base,FD002,lstm,2,1,19,0,19,0,0,0,0,0,0,25.145610849735313,17.141988137513973,7155.938781585479,282.5,0.309,14,127297,2026-09-10T00:12:47
exp1,C1_base,FD003,lstm,0,1,18,0,18,0,0,0,0,0,0,17.244176120196887,13.061683177947998,699.4985330660527,171.5,0.284,18,126785,2026-09-10T00:15:41
exp1,C1_base,FD003,lstm,1,1,18,0,18,0,0,0,0,0,0,16.52187376499381,11.78716735124588,798.1433658973134,136.3,0.279,15,126785,2026-09-10T00:17:59
exp1,C1_base,FD003,lstm,2,1,18,0,18,0,0,0,0,0,0,15.772038749656168,12.176727666854859,453.1066757633486,149.8,0.309,15,126785,2026-09-10T00:20:30
exp1,C1_base,FD004,lstm,0,1,19,0,19,0,0,0,0,0,0,28.65690948776555,21.059670586739816,23076.80269024498,295.2,0.34,12,127297,2026-09-10T00:25:28
exp1,C1_base,FD004,lstm,1,1,19,0,19,0,0,0,0,0,0,29.444476244081216,20.652653817207582,64512.206896092655,296.0,0.344,12,127297,2026-09-10T00:30:28
exp1,C1_base,FD004,lstm,2,1,19,0,19,0,0,0,0,0,0,29.198000835144672,20.383595747332418,38484.42716155262,303.6,0.342,13,127297,2026-09-10T00:35:34
exp1,C2_rolling,FD001,lstm,0,1,77,0,17,60,0,0,0,0,0,17.809623786794976,13.841013407707214,859.5244870137585,120.9,0.299,16,156993,2026-09-10T00:37:39
exp1,C2_rolling,FD001,lstm,1,1,77,0,17,60,0,0,0,0,0,18.280780693618,14.416504516601563,648.057416702318,130.8,0.292,17,156993,2026-09-10T00:39:55
exp1,C2_rolling,FD001,lstm,2,1,77,0,17,60,0,0,0,0,0,17.918621009610057,13.511569738388062,583.0714023727957,86.2,0.301,11,156993,2026-09-10T00:41:25
exp1,C2_rolling,FD002,lstm,0,1,87,0,19,68,0,0,0,0,0,26.779224382954293,19.006060344372017,15334.801155875968,213.9,0.358,11,162113,2026-09-10T00:45:06
exp1,C2_rolling,FD002,lstm,1,1,87,0,19,68,0,0,0,0,0,25.390905212012342,17.76459872492492,9311.8722470531,223.1,0.488,11,162113,2026-09-10T00:48:58
exp1,C2_rolling,FD002,lstm,2,1,87,0,19,68,0,0,0,0,0,25.061491537679498,18.003582739001537,9769.191872169897,233.7,0.374,11,162113,2026-09-10T00:52:58
exp1,C2_rolling,FD003,lstm,0,1,82,0,18,64,0,0,0,0,0,22.452225850888535,16.527654752731323,2939.1245206652757,111.2,0.374,11,159553,2026-09-10T00:54:53
exp1,C2_rolling,FD003,lstm,1,1,82,0,18,64,0,0,0,0,0,20.18081219079776,15.356855342388153,1167.6133511077123,119.1,0.343,12,159553,2026-09-10T00:56:56
exp1,C2_rolling,FD003,lstm,2,1,82,0,18,64,0,0,0,0,0,21.796028021406016,16.67335913658142,2224.0314487894398,117.7,0.333,12,159553,2026-09-10T00:58:57
exp1,C2_rolling,FD004,lstm,0,1,87,0,19,68,0,0,0,0,0,28.12758682489331,21.436593344134668,12601.642048009193,255.1,0.415,11,162113,2026-09-10T01:03:19
exp1,C2_rolling,FD004,lstm,1,1,87,0,19,68,0,0,0,0,0,29.38783330587575,22.32417913982945,14286.81790469402,378.3,0.441,16,162113,2026-09-10T01:09:46
exp1,C2_rolling,FD004,lstm,2,1,87,0,19,68,0,0,0,0,0,28.40240499993483,22.408886075019836,10976.308725240404,271.3,0.341,11,162113,2026-09-10T01:14:25
exp1,C3_lag,FD001,lstm,0,1,107,0,17,60,30,0,0,0,0,16.94476842768527,13.16791051387787,518.9718391837748,159.3,0.401,20,172353,2026-09-10T01:17:08
exp1,C3_lag,FD001,lstm,1,1,107,0,17,60,30,0,0,0,0,18.569655705135425,14.054414172172546,778.2858045122221,171.3,0.35,22,172353,2026-09-10T01:20:03
exp1,C3_lag,FD001,lstm,2,1,107,0,17,60,30,0,0,0,0,17.66911402561164,12.732087469100952,667.5459028624523,88.3,0.364,11,172353,2026-09-10T01:21:34
exp1,C3_lag,FD002,lstm,0,1,121,0,19,68,34,0,0,0,0,26.69924640187858,18.55368425118877,18563.63482758304,220.3,0.452,11,179521,2026-09-10T01:25:22
exp1,C3_lag,FD002,lstm,1,1,121,0,19,68,34,0,0,0,0,26.67665242128057,18.766869666493537,15292.801873161246,231.7,1.176,11,179521,2026-09-10T01:29:22
exp1,C3_lag,FD002,lstm,2,1,121,0,19,68,34,0,0,0,0,26.576388983475223,18.280810643347074,19747.739931648597,233.4,0.342,11,179521,2026-09-10T01:33:23
exp1,C3_lag,FD003,lstm,0,1,114,0,18,64,32,0,0,0,0,23.11972984292961,17.686475324630738,2410.2110243466223,130.3,0.323,13,175937,2026-09-10T01:35:39
