dataset,added_group,rmse_change,range_low,range_high,chance_it_helps,real_improvement
FD001,rolling,1.111,-0.445,2.54,0.077,False
FD001,lag,-0.229,-0.977,0.492,0.728,False
FD001,trend,-0.504,-1.872,0.811,0.766,False
FD001,agg,0.466,-0.327,1.285,0.127,False
FD001,full,0.645,-1.354,2.704,0.267,False
FD002,rolling,-1.161,-2.358,0.029,0.972,False
FD002,lag,0.823,-0.078,1.681,0.037,False
FD002,trend,-0.764,-2.508,1.017,0.803,False
FD002,agg,-0.003,-0.807,0.797,0.502,False
FD002,full,-1.164,-2.835,0.374,0.927,False
FD003,rolling,3.408,0.972,5.8,0.003,False
FD003,lag,-0.133,-1.058,0.774,0.606,False
FD003,trend,-3.079,-5.144,-1.43,1.0,True
FD003,agg,-0.091,-1.021,0.859,0.58,False
FD003,full,-1.104,-2.599,0.248,0.94,False
FD004,rolling,-0.493,-3.441,2.216,0.616,False
FD004,lag,-0.379,-1.266,0.544,0.792,False
FD004,trend,-2.004,-3.456,-0.45,0.993,True
FD004,agg,0.095,-0.709,0.941,0.415,False
FD004,full,-1.669,-2.949,-0.444,0.997,True
