comparison,group,dataset,rmse_change,range_low,range_high,verdict
L_no_rolling vs L_full,rolling,FD001,-2.825,-4.771,-0.984,group harmful
L_no_rolling vs L_full,rolling,FD004,-1.338,-2.335,-0.384,group harmful
L_no_rolling vs L_full,rolling,AVERAGED,-2.081,-3.15,-1.049,group harmful
L_no_lag vs L_full,lag,FD001,-0.768,-2.053,0.488,not measurable
L_no_lag vs L_full,lag,FD004,0.035,-0.642,0.7,not measurable
L_no_lag vs L_full,lag,AVERAGED,-0.367,-1.092,0.342,not measurable
L_no_trend vs L_full,trend,FD001,1.865,0.149,3.622,group contributes
L_no_trend vs L_full,trend,FD004,1.877,0.692,3.14,group contributes
L_no_trend vs L_full,trend,AVERAGED,1.871,0.818,2.926,group contributes
L_no_agg vs L_full,agg,FD001,0.006,-0.921,0.926,not measurable
L_no_agg vs L_full,agg,FD004,0.079,-0.733,0.913,not measurable
L_no_agg vs L_full,agg,AVERAGED,0.041,-0.575,0.67,not measurable
L_no_cycle vs L_full,cycle,FD001,-0.532,-2.18,1.028,not measurable
L_no_cycle vs L_full,cycle,FD004,1.366,0.113,2.602,group contributes
L_no_cycle vs L_full,cycle,AVERAGED,0.419,-0.622,1.405,not measurable
