config,dataset,rmse,mae,phm08,n_features
C1_base,FD001,16.68,12.41,579.52,17.0
C1_base,FD002,26.32,18.1,14297.93,19.0
C1_base,FD003,16.49,12.28,703.63,18.0
C1_base,FD004,28.73,20.49,40953.71,19.0
C2_rolling,FD001,18.0,14.0,671.4,77.0
C2_rolling,FD002,25.74,18.19,11975.85,87.0
C2_rolling,FD003,20.32,15.28,1753.62,82.0
C2_rolling,FD004,28.58,22.09,11499.98,87.0
C2a_rollmean,FD001,16.19,11.95,569.4,47.0
C2a_rollmean,FD003,16.2,11.65,741.27,50.0
C2b_rollstd,FD001,18.87,14.29,857.83,47.0
C2b_rollstd,FD003,21.0,15.48,2238.69,50.0
C3_lag,FD001,17.81,13.41,709.81,107.0
C3_lag,FD002,26.34,18.54,14992.99,121.0
C3_lag,FD003,20.15,15.0,1737.18,114.0
C3_lag,FD004,28.58,21.77,13918.47,121.0
C4_trend,FD001,17.12,12.7,653.72,122.0
C4_trend,FD002,25.73,17.8,9041.01,138.0
C4_trend,FD003,16.16,11.7,721.54,130.0
C4_trend,FD004,26.34,19.57,8410.88,138.0
C5_agg,FD001,17.56,13.02,751.9,126.0
C5_agg,FD002,25.58,17.59,9580.05,142.0
C5_agg,FD003,15.95,11.73,605.08,134.0
C5_agg,FD004,26.37,19.62,8198.2,142.0
C6_expose,FD001,17.33,13.0,556.32,180.0
C6_expose,FD002,25.34,17.11,10658.74,180.0
C6_expose,FD003,14.96,10.86,425.91,180.0
C6_expose,FD004,24.39,17.92,7107.51,180.0
C6_full,FD001,17.85,13.2,588.58,129.0
C6_full,FD002,24.15,16.25,8345.23,145.0
C6_full,FD003,15.16,10.83,524.72,137.0
C6_full,FD004,24.69,17.92,8798.65,145.0
C6_legacy,FD001,17.12,12.69,505.95,179.0
C6_legacy,FD002,24.12,16.36,7243.73,179.0
C6_legacy,FD003,14.77,10.74,497.98,179.0
C6_legacy,FD004,24.46,17.77,6579.2,179.0
