config,dataset,rmse,rmse_sd,mae,phm08,n_features
L_full,FD001,17.04,0.74,12.79,519.93,129.0
L_full,FD004,24.59,0.66,17.96,7240.37,145.0
L_no_agg,FD001,16.99,0.98,12.57,564.38,125.0
L_no_agg,FD004,24.53,0.61,17.83,8343.87,141.0
L_no_cycle,FD001,16.66,1.34,12.55,574.37,126.0
L_no_cycle,FD004,26.07,0.31,19.87,6385.96,142.0
L_no_lag,FD001,16.51,0.73,12.03,501.02,99.0
L_no_lag,FD004,24.56,0.41,18.03,7088.05,111.0
L_no_rolling,FD001,14.5,0.72,10.56,360.41,69.0
L_no_rolling,FD004,23.2,0.34,16.81,6241.49,77.0
L_no_trend,FD001,19.4,0.76,14.06,890.75,114.0
L_no_trend,FD004,26.93,1.01,20.19,12198.59,128.0
